"","mz","rt","LungNodule_2","LungNodule_3","LungNodule_4","LungNodule_5","LungNodule_6","LungNodule_8","LungNodule_9","LungNodule_10","LungNodule_11","LungNodule_12","LungNodule_13","LungNodule_14","LungNodule_15","LungNodule_16","LungNodule_17","LungNodule_18","LungNodule_19","LungNodule_20","LungNodule_21","LungNodule_22","LungNodule_23","LungNodule_24","LungNodule_25","LungNodule_26","LungNodule_27","LungNodule_28","LungNodule_29","LungNodule_33","LungNodule_34","LungNodule_36","LungNodule_37","LungNodule_38","LungNodule_41","LungNodule_42","LungNodule_44","LungNodule_45","LungNodule_46","LungNodule_47","LungNodule_49","LungNodule_50","LungNodule_52","LungNodule_53","LungNodule_55","LungNodule_56","LungNodule_57","LungNodule_58","LungNodule_63","LungNodule_64","LungNodule_65","LungNodule_66","LungNodule_68","LungNodule_72","LungNodule_73","LungNodule_74","LungNodule_75","LungNodule_76","LungNodule_77","LungNodule_78","LungNodule_80","LungNodule_81","LungNodule_82","LungNodule_83","LungNodule_85","LungNodule_86","LungNodule_87","LungNodule_89","LungNodule_91","LungNodule_92","LungNodule_93","LungNodule_97","LungNodule_99","LungNodule_100","LungNodule_101","LungNodule_102","LungNodule_103","LungNodule_105","LungNodule_106","LungNodule_107","LungNodule_108","LungNodule_109_2","LungNodule_110","LungNodule_111","LungNodule_112","LungNodule_113","LungNodule_114","LungNodule_115","LungNodule_116","LungNodule_117","LungNodule_118","LungNodule_119","LungNodule_121","LungNodule_122","LungNodule_124","LungNodule_125"
"group","mz","rt","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Benign","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer","Cancer","Benign","Benign","Cancer","Cancer","Benign","Cancer","Benign","Cancer","Cancer"
"M137.0707T379.2","137.0707","379.2","115228","188258","206412","351659","300332","233838","436064","190290","149797","179035","298977","501416","31465","791096","23329","48562","83564","73997","274962","73275","131800","115295","165684","317334","164173","99263","105018","126811","78163","165664","182897","141686","54957","88548","96248","136536","200206","50914","95479","90623","778096","72992","139902","1249432","102140","196547","121818","117634","58820","147190","100222","87314","72944","173057","165543","250933","113584","205293","113218","319345","222233","150948","242897","174918","251644","300067","223935","132048","110452","450149","189132","134444","128006","168093","105852","267496","115120","202726","110350","17683","119689","133654","53024","269975","192923","140177","167788","169529","140889","76589","67261","218242","145448","139176"
"M132.0777T396","132.0777","396","1477527","2191571","2093252","978518","2858302","1210488","2231164","1141425","2495057","1445300","2346948","2264068","2263152","807727","2399765","2232422","2010393","2292462","1213897","1273130","1131214","1230973","1734546","1734692","1051037","675950","1302029","1597608","1143732","1581246","1450002","1178676","1536865","553185","545084","1802705","1566178","1410997","558057","2367527","2472203","632682","722437","661662","383098","402150","1312278","813923","1562215","2040209","1763622","688735","2044046","528990","498262","1589262","1010838","1543675","1981908","1272863","1335297","546658","707677","637164","971601","1321832","805393","1143002","436483","1028759","586480","644355","570609","683772","437476","295455","1107929","572223","762030","47760","559075","540548","746706","1023326","287459","303040","791769","762737","856819","967667","519935","473424","667064","1192023"
"M147.0769T379.2","147.0769","379.2","802894","778187","864353","771471","752685","753225","635855","489168","597562","353927","586484","584651","510790","717303","375831","285383","665586","677872","406249","227831","253757","170623","1058972","300826","1001355","366789","671928","735954","730758","446779","390099","1160390","374027","110394","362364","679326","387199","329705","353040","1412371","713082","596408","82542","317665","381608","406731","925531","728178","391643","818126","790505","516980","837370","324349","559374","758877","587332","412133","651367","281344","395335","568725","477301","408794","382489","559489","504563","475022","509791","593357","421314","470240","95377","151446","139635","286904","188136","125051","176699","4802","207851","392494","111851","240456","238812","254220","278326","337391","359333","285896","170944","218310","242569","233011"
"M468.3056T344.4","468.3056","344.4","284375","150056","139588","183571","88026","248792","121760","234199","157383","251050","82118","226149","197576","98782","199705","9329","110059","503373","378305","367144","194020","352493","156440","290016","120820","314136","224585","129454","202750","343928","307649","110895","106394","124340","116065","92712","337494","180486","257887","83021","181539","108022","419609","111104","120810","126343","93488","89945","133741","146425","126364","225265","94684","207261","143833","75404","118006","131604","99883","126625","212332","185759","189731","181163","89322","406167","151372","51729","138431","114085","253903","336146","549458","457779","227426","148907","273222","281242","205681","0","239445","105116","352754","161217","272561","274119","135714","264501","127417","139273","184962","163056","458053","185180"
"M482.3222T340.2","482.3222","340.2","76068","54638","53823","56151","21968","54699","40018","115819","57186","94023","50893","67085","86994","52551","106835","154818","81183","153069","244096","352829","88623","135885","110174","167380","54209","42936","116049","42902","87375","153804","154204","41662","58174","89085","79356","53996","47612","82710","102261","37499","24248","57086","109481","65945","52839","72183","40009","52839","45189","46063","37754","66473","38740","81131","35975","21060","26805","67507","44272","98105","94279","81170","71765","78040","14502","100108","29455","23219","68527","44173","136089","103390","240128","197991","91951","65165","144967","120686","74033","0","99760","59068","139865","102213","98740","103446","34047","78224","26492","31363","77788","66358","140468","98086"
"M496.3387T336.6","496.3387","336.6","284478","2862877","2176552","3110829","1665677","3941","1850210","4483272","3148707","4077445","2455713","3673499","3872144","2776846","5683982","5166848","3589989","7219706","7408591","7978410","5398463","6926931","5182294","5186320","3281050","5167699","4573610","3339988","4495348","4898038","5218932","2029507","4067420","5578072","3873532","2273326","5422118","3639459","4379328","1456899","2819516","2652557","6518546","3823448","3449188","3687841","1891619","3306791","3066072","3263243","2273121","3924085","1808315","4178596","2338451","1511864","3147975","3633106","1830408","3649819","3831212","3014978","2530464","3771426","2971944","4722353","2954606","1790659","2353646","2470940","5674570","4720157","5855518","5310607","5170970","4039449","5122467","5053207","4506489","4773","5484141","3132058","5274791","3744458","3772893","4828755","19439","3794778","3149114","3346674","4412785","2985800","4018736","3505822"
"M494.323T339.6","494.323","339.6","212490","98390","108112","219030","115055","371203","122842","265171","223928","267296","107234","205346","184578","137093","232478","235881","152930","452580","477335","599565","266429","447072","221911","469417","136129","807336","271794","161616","467955","290834","582690","108263","4519","271723","209359","146383","914873","211469","350843","88637","198683","248068","507936","223606","199227","247123","97500","169135","200472","200142","109689","146014","92455","205753","162502","91708","133367","151177","100327","162406","234950","243143","236722","198182","92938","518887","175785","73277","86888","124025","261334","472360","553585","428624","333981","194763","367045","271597","296249","0","422229","176639","397507","260939","343500","373506","240545","268234","151236","296390","247453","209475","432586","222542"
"M524.3705T328.2","524.3705","328.2","179091","221678","145441","288726","92824","156814","141474","390730","264853","379075","220321","365310","523999","225388","828930","703246","404703","1215788","1845760","3037384","87354","1382621","922887","1000797","310067","601729","709507","408482","522278","725488","1083828","107181","786905","1516942","637043","227038","722928","638067","558021","93196","153436","344770","1322482","314401","375480","382759","157007","326277","262579","347817","170969","513599","117491","461528","144381","117614","281651","270965","127596","480061","445084","353960","220027","303195","270351","505869","226344","148084","205072","199917","529568","529079","988487","807092","806752","511462","714972","807933","466370","0","805556","298055","584627","288711","310967","511432","186035","272777","327353","218569","464692","252877","391592","421610"
"M520.3381T334.2","520.3381","334.2","1545174","1512995","1189542","1534329","633738","1817931","1048142","1034103","900052","1284448","1253977","1446959","1804600","13222","39967","794184","688204","1298748","1826734","2498703","2423846","2446595","1996471","3937895","795861","2626736","2207134","1058267","1450942","1256077","2736772","845499","1486893","3645369","1684981","477076","2216797","32536","1603826","441047","1104593","2051371","2719528","1501911","1396682","1632847","598126","1128226","1044452","1478061","848800","1684949","704244","2072553","773577","539307","2002706","990359","529729","1506942","1413095","1325830","793758","1525685","746167","2154037","1126522","503318","948150","969789","909536","2108239","3489298","42724","61102","9606","2874992","2512594","1728981","2742","2384487","1488540","45369","1484976","938443","46355","1396009","1397903","870057","929542","1657861","1578253","1749989","1640607"
"M518.3208T336","518.3208","336","2352474","93182","68151","2308798","57116","2381575","1614913","3237633","2520335","3035415","2031363","2824090","2973481","2396277","3868864","3548299","2966612","4064147","137067","3897286","3420713","3805358","3478274","3246757","2809838","3380009","3119096","2815436","3415124","3419971","3401146","1261762","2684074","2765625","2951233","2448653","2879966","2974546","3024768","1556353","1915119","2256648","3393612","3038064","2730272","73491","1933867","2796326","2546056","49808","2131515","3190176","1770876","3015860","2101832","1557093","2551546","2979583","1753125","2794851","3004800","2520074","2238679","2800030","2419641","3437234","2559125","1690258","2055865","2383006","4066727","3290177","3285871","3281058","3250908","9080","3396820","3283000","3235641","9413","3487015","2426017","3214492","2321349","86678","118152","2450791","2934931","2449083","2503048","2739784","1972358","2761079","2409775"
"M516.305T339.6","516.305","339.6","258124","129316","131854","300974","173350","491082","179995","384689","329175","389863","151938","309956","274046","218494","326573","301649","322625","556363","531185","545290","322859","461401","281094","539241","213925","903672","355297","232428","644514","378825","671452","111305","353730","224745","276771","234918","788247","316612","367687","183547","175226","350784","440062","306322","261995","331877","168680","239462","275903","272955","165916","218421","158090","183795","232260","131387","155073","207329","157118","192802","295105","305564","320434","214507","96142","620800","257557","98167","99324","172911","321256","536013","455114","396656","333286","208995","364201","263995","338102","0","410618","210700","359586","224563","403678","385457","298213","302817","168536","321284","193037","183272","379228","188510"
"M546.3571T324","546.3571","324","93711","114212","88041","85684","12322","101789","23453","178349","73611","209050","74436","119509","151159","135756","418430","347717","78064","435152","493074","1561253","643151","846435","567398","692353","196517","171870","509115","66841","345799","531140","802647","47907","544645","385617","101747","47157","408717","182806","359097","81469","16841","305273","808358","251830","58070","287750","12840","253342","189957","244586","159669","381400","129726","318786","116640","126714","203957","208123","126831","111288","328490","298098","190965","216177","187744","107785","29634","20194","32878","218682","517678","400216","367580","297113","301231","338832","544851","538810","348737","4930","554981","236803","242360","163972","242074","157898","29639","65853","107122","67446","169088","83922","120599","141332"
"M542.3213T333.6","542.3213","333.6","897367","925229","764169","948937","487291","1187803","767139","612386","597434","889716","931133","1009862","1269371","291708","658279","472664","458189","719199","942289","1283827","723489","1422493","20562","2390649","573406","1609217","1454382","769991","961786","820062","1767163","429998","946705","1840617","1178136","344319","1060472","847531","973659","358906","632472","1573615","1462545","1046606","1007339","1202569","522416","876770","724823","1028629","669599","1265234","572109","1389862","593658","464900","1482520","738663","402302","1075296","1016261","1021122","622682","1006605","536606","1434918","849643","386188","735775","870880","579343","1369032","1944390","1688188","1211281","1626453","1859736","1530486","37388","3927","1477356","1067981","1402936","857905","630041","1051326","1043911","988271","600059","603252","964093","1004383","1128308","1031322"
"M454.2923T247.8","454.2923","247.8","31481","38828","26542","30661","22455","24780","20510","55416","16221","44784","20021","29988","29008","21383","31444","19921","36432","112802","106689","66380","36521","59610","34028","41152","25872","38993","20866","18902","37797","29262","43041","11706","28905","38976","23298","20934","35888","28912","26071","17025","24537","22432","40340","22901","25935","27754","20258","47365","24612","16918","27508","25776","16600","29779","18317","11590","27047","33731","15859","23958","32299","26189","19483","37730","19403","35217","17302","19443","21138","46387","109421","42903","94613","86559","61488","40014","73681","68947","95730","27634","44420","35529","108386","89992","44628","61500","19820","30618","27580","18898","47075","32214","48147","38580"
"M478.2923T244.8","478.2923","244.8","55816","122604","92101","15015","51587","52465","43113","54619","23504","61214","46641","50678","52658","25237","23065","11702","32959","5972","66643","42227","49231","53559","42132","89495","27561","79799","31054","27253","47155","23002","44042","80593","43443","104348","43175","13713","87349","41495","25666","28938","52823","78759","39565","35791","29982","47449","14640","51337","34382","53322","87346","45077","73611","54516","23133","41801","58448","36026","29147","33227","45221","41750","25336","49021","19151","88165","40500","19787","54126","113932","44458","118611","189058","150529","116331","96544","153094","114608","99769","12187","61825","92587","155211","104501","36677","65081","59189","60907","61521","41870","112687","82934","94171","71390"
"M502.2927T237.6","502.2927","237.6","38179","46017","48744","26816","29177","50066","32320","59251","30926","50705","21066","28481","42485","39473","26432","18959","43737","26592","57042","30808","41161","30594","44253","38985","39137","60030","32624","50300","70633","24412","30914","100133","26028","70635","39558","21610","65608","28953","42593","47424","87776","71607","41683","77068","33078","56171","45831","37286","78845","41447","102689","33146","63552","48694","46396","58182","48410","30200","39347","33790","46108","49932","33618","51113","35567","27362","45858","46006","52107","99329","58131","43463","76087","66800","66951","57528","104785","104678","118456","34969","45637","76214","140410","78513","37661","63830","69315","32164","46125","43704","78667","43276","60189","47563"
"M526.2926T235.8","526.2926","235.8","28601","27966","16692","23363","35035","30081","38199","32180","29306","36724","51842","41054","51509","41830","28503","14657","53123","33900","33482","14105","35212","49537","20023","25451","38658","38934","25679","39688","62748","16422","32780","40326","14857","31626","27697","46989","36124","32164","54394","43938","89465","54278","50500","80937","20925","14367","26823","29481","77184","23188","99074","37765","35864","42114","16798","34444","55744","68455","44664","31261","55544","37524","58372","57993","38330","37713","80570","43583","25763","40185","60815","34686","91850","75959","43734","30755","81388","59536","82969","22862","36629","38154","69362","76562","39213","45438","37063","36736","22025","20527","77376","74179","57844","47945"
"M150.0564T277.8","150.0564","277.8","213384","180337","149379","157202","259561","193120","196863","133642","136081","97464","162806","128840","189124","287993","206346","160102","403384","173987","165275","111759","69390","59253","122561","87686","185206","113073","94357","146327","154875","80768","88920","277620","55194","34376","86405","127065","89799","115029","162853","362343","213901","126584","49071","163082","121643","169273","220624","106656","161156","127859","319959","121954","222073","84030","222119","181061","189429","151393","193633","87625","112559","107814","125906","122511","133747","228956","227958","195418","197275","188384","186399","95945","65083","87363","53223","95129","78002","56955","84823","2473","73784","100455","62393","79372","97514","81741","118619","98087","111171","74784","50371","76862","68228","77014"
"M700.5235T160.8","700.5235","160.8","13285","15646","17174","10964","7913","10536","11058","9197","9190","9825","14323","16358","5667","6620","8496","15919","5333","16422","15347","16510","20712","27634","7449","18063","5377","9408","18157","6592","6270","13071","16661","6725","13759","17161","8836","3561","8952","10063","10318","9460","5807","5964","31477","6574","11287","6018","8134","5296","4954","11094","5592","10942","8063","8557","6694","8216","11095","7134","7230","17577","10671","10359","7519","8117","7602","7409","10207","5281","10651","12277","5806","9886","15853","14875","21191","22523","22404","17454","8946","13066","17059","7246","16886","23651","7206","14288","14614","9305","8947","9283","21780","16269","12583","14555"
"M758.5706T244.8","758.5706","244.8","7562140","7769474","7617450","7337453","7580374","7413210","7408713","6738488","7535444","7225574","7848818","7523199","7946974","7228888","7568179","5959314","7177198","7004734","6979339","7233886","7852328","7701794","7576278","7330266","7704441","7426376","7914364","7090519","6866514","7524752","7015087","7382820","7726737","7972529","7186384","6618245","7119224","7422730","7628014","7532063","7549871","7476219","7573827","7705755","7607464","7571067","7898382","7558576","7542330","7483917","7484512","7786365","7915462","7764309","7276","7679258","7864914","7761278","7536126","7564340","7291915","7324743","7230781","7266402","7319181","7135228","7561417","6656144","7195494","7439655","6365078","7229849","7543498","7486903","7688096","7619474","7297137","7065974","7505682","3774309","7357152","7084668","7207845","7071982","7069893","7053576","7659272","7575898","7400008","7445036","7967346","7767148","7656205","7839812"
"M678.5066T254.4","678.5066","254.4","180195","17518","33909","60314","18899","89062","27394","9665","18393","19616","7153","64157","36280","21676","8561","3994","11473","22127","14329","16568","9882","21251","22473","44479","22651","81665","83047","43218","51466","130574","71437","85837","22509","10500","12757","17999","98903","26031","60773","36733","64543","24249","48847","15710","20986","36259","67846","31642","24627","24085","73228","143098","63738","38720","44885","63056","34190","14417","35077","21358","51251","124382","72517","51083","12313","113894","27214","7204","19651","19863","7157","51019","135216","140221","37654","25385","42487","27686","15144","38390","22772","11021","37798","14076","145634","76825","59834","74238","22616","52614","22382","29725","158580","31654"
"M706.5377T251.4","706.5377","251.4","663909","121881","202891","228391","295818","461943","209762","107429","148804","220033","99254","365470","201664","195207","96869","81048","160705","319094","154059","130529","101512","206818","152496","211388","227543","411527","269549","212625","352141","539673","432574","191204","216697","105312","133628","237991","496523","273726","257638","277739","459759","197106","402729","202024","232989","269548","327625","248357","215434","259711","334157","319090","277035","251386","397991","277654","183422","198615","225760","173875","333050","486044","474771","303163","111898","427213","238019","78824","182249","144517","162438","297564","544049","542108","311871","262735","272201","251128","168272","1504073","164093","123592","338364","157955","592510","454659","325327","429694","207486","306419","233420","272753","578614","173593"
"M704.5235T251.4","704.5235","251.4","126259","21669","42376","93573","67326","134704","43931","23506","43034","47313","14929","97690","54461","39447","11180","7265","24653","32697","21070","25865","22131","53176","35213","76590","44333","264002","87473","66480","173030","204540","188176","87589","68823","25962","34743","61834","257693","57676","76429","73538","129105","46978","95260","32101","47433","65100","79876","59684","73962","61055","68449","111356","83167","52676","77652","116056","37671","27893","70999","24336","82851","139546","152016","64812","21696","187318","56907","17796","35538","36792","14159","101408","184506","190266","84377","28738","64123","44233","39395","50295","28115","24902","70604","31017","190481","102668","100019","124312","47582","124037","43786","45917","205014","42298"
"M732.5532T247.8","732.5532","247.8","1137348","338638","534996","1053408","1260507","1583287","552524","521211","733448","880677","349551","1094229","641879","605293","262934","186490","549749","658071","335734","386092","477204","897922","554197","763791","644843","2567881","933558","853270","2189468","1499133","1728705","646892","1469419","517900","555167","1331501","2542273","995152","790354","876465","1412956","775723","1132540","762164","772813","1017200","750782","958011","1181078","1001083","832686","752563","811768","709349","1164142","1154952","562934","664168","809522","494916","1107738","1335822","1757942","909428","498899","1671126","1226482","498420","425664","522258","319765","1375024","1138944","1136705","1452166","582090","778311","620271","814895","1388496","637465","469453","994248","595480","2052348","1471517","1485257","1313744","845936","2237249","755048","855942","1337475","594493"
"M730.5375T248.4","730.5375","248.4","384855","328685","313431","369520","327210","369136","333928","174786","357585","351894","288737","499482","520676","238215","234193","102523","262776","315053","208902","217094","424540","521399","337718","425865","311009","399937","636274","332206","382829","647285","552078","454403","304164","313372","228949","245082","518400","403058","587680","523341","540597","301556","605464","228424","294070","266838","439187","246750","461979","419458","433138","677650","472659","496367","344981","564711","410531","299270","474796","371952","425422","505608","592405","318267","252970","542512","443825","195007","374350","282305","141397","482800","579116","580139","404425","285346","415583","318772","385076","74118","308597","200786","429969","291600","486886","365083","379595","545272","304647","402421","395406","427069","763614","557582"
"M728.521T251.4","728.521","251.4","58727","19429","21757","21139","35153","36006","30372","18597","21669","27246","14978","40599","27491","20059","13034","13145","19957","41315","19031","16091","13732","26213","15373","28178","24167","41832","27670","24789","35039","53597","47172","19865","24554","15564","17363","28766","57906","36784","31517","33500","48889","29081","46131","20991","30100","28248","36468","35131","31548","43334","39545","36741","31249","35362","48585","34437","25738","25685","29887","19590","41578","51028","57874","34700","16351","51230","33724","12673","33788","23113","22558","45565","62211","60431","37971","29996","29632","32286","23382","201064","19631","18022","45386","25088","51056","46659","33468","47884","25749","26479","17573","22548","53452","23883"
"M756.5531T246.6","756.5531","246.6","627976","459845","529643","538709","660146","612764","594273","364894","722723","554009","500384","673252","663111","485511","301451","298278","545791","536599","433286","462859","559539","826738","527756","743065","536748","656648","634728","513797","566538","687260","749515","537575","537195","556662","494590","454017","820263","493382","680785","587555","740844","606295","749002","461718","532442","476684","551239","454680","649335","698505","603879","590333","566353","628720","634456","763358","598164","529864","674654","527352","552650","639217","632890","440191","380358","773343","593888","304071","514086","523634","304814","857833","647201","636814","562556","570402","545358","461027","534835","389578","566074","458748","512598","565150","520327","505246","573879","627640","461571","565161","455466","537629","753947","651105"
"M754.5363T243","754.5363","243","108125","95794","55518","76229","122006","109474","61339","73764","70416","144639","69323","141686","142903","39775","35698","55114","87369","69858","39564","72041","83382","133199","86840","121971","91499","133039","147740","94707","117112","270227","101525","101326","80219","67046","67108","95267","151208","75046","117966","86922","166017","88837","71780","74627","79838","62070","93225","73932","171458","128438","98164","139606","55699","108744","104688","112255","86444","49843","102453","97596","139191","130081","127076","115434","92662","103461","78787","84173","76531","48204","61724","98505","68499","101189","83993","56378","97796","116096","168650","134427","63986","62375","178902","59875","133963","103143","79550","84787","104978","105149","55448","50598","143929","97375"
"M752.5209T249","752.5209","249","15944","21304","15906","16338","19026","16166","23287","15839","17746","22516","19510","26419","24028","15602","16557","11654","18020","22380","13298","13407","21450","25054","14021","20120","18561","18585","28035","19430","19617","33585","30929","16988","16071","17201","14725","18522","29714","30611","35186","30242","28631","23567","32162","14450","20313","17037","27699","20796","29779","33535","26646","37068","24804","30624","26635","35031","29181","21096","29493","23179","26684","28542","38826","21277","20483","31999","27255","18140","36593","25349","15912","31838","32257","31480","22636","18163","24325","22884","28137","7150","17689","16882","28690","24672","26501","22213","18673","32190","22267","17837","18043","20309","37270","28970"
"M786.6005T241.8","786.6005","241.8","5111514","5225951","5404646","5537234","4982351","4922163","5279011","4209923","5355464","4758080","5414804","4808597","4575736","4670947","5676507","4268376","4933280","4410427","4811156","4676793","5315653","4350217","4735384","4560388","4585244","5232372","4815223","4464888","4170599","4000474","4332787","5031944","5434037","5300004","4607312","3795498","5308808","5347951","4707911","3872508","4146853","4420688","4510831","4066801","4318448","4388505","5189586","4130420","4344909","4121619","4735287","4962157","4908013","4764357","3875935","4438354","4803966","4409487","4375173","4734497","4533293","4945346","4511327","4188662","4395155","4940368","5026687","4171986","4448454","4455114","3522883","5233153","5274827","5258714","5261678","5382665","4549173","4566096","4108640","1672953","5037073","4501006","4555794","4131329","4453760","4408667","4894113","4334652","4711313","4683273","5154954","5043063","4723968","5060851"
"M782.5692T237.6","782.5692","237.6","6878810","6546899","5707291","6406120","7182074","6911248","5192045","6150930","5916480","6700419","6567714","6554896","6848355","5016438","4889378","5749969","6201453","5446194","5305687","6918250","6565282","6233290","6819736","6862574","6906402","6672996","6521449","6795021","6549563","7277508","5917954","6330841","6205722","7070722","6848547","6049228","5841056","5494009","6484019","5648787","6770335","6854070","6485790","7662598","7029955","5816227","6966713","3690","7351956","6450643","6466052","6543476","6416563","6812690","6179253","6316185","6752990","5553205","5892467","6723618","6721760","6799676","5934418","6876087","6996356","5924381","5297444","6184353","5444581","5644303","6198713","5026835","6206629","6180538","6692737","6363393","6086266","6636333","7504225","1832884","6429466","6373958","7206832","5397676","6748173","6286994","7167662","7246686","6710892","7212992","6350290","5153950","5815903","6106758"
"M780.5524T240","780.5524","240","1595722","924015","570348","906828","1731127","1853785","1492187","800798","901230","1946869","817731","2283004","1874935","1009311","473121","808245","1510437","1842973","541441","914238","1131733","2745719","955082","1304672","1429012","1204968","1706694","983287","1391883","1512707","2922806","889250","921755","730499","940276","1959522","1351801","1393663","1042732","860146","1940575","1122082","451465","827812","1329882","1871649","1375768","2001463","1385710","1464053","1713251","1619726","537239","1148113","3620528","1024832","1493589","2995930","1048091","1148755","2490684","1202791","2228424","1695217","1150936","1098852","2416302","841801","686275","642199","1341729","903179","1564087","1491567","411183","1581781","1835450","815717","1046634","386417","1688108","1078113","1184845","3123154","1662952","2787581","1129965","1584361","675925","1104694","1154686","2269831","2574181","1565920"
"M778.5424T240","778.5424","240","50049","51060","29199","40523","70814","56517","72740","31521","61623","87249","41442","76922","81366","36643","15111","34936","64922","81014","26327","20116","53007","22246","39905","59901","49722","38382","91307","41829","60274","73166","137997","39736","30380","33476","35843","63979","48420","56334","92700","43044","85012","45733","111953","25043","41098","55538","53223","56563","46232","46083","60888","88236","19962","48112","97815","48042","53278","77615","61779","54236","75829","54614","113229","65642","39824","55296","80779","32250","37198","30900","44580","50297","87136","87241","41243","37911","83158","49153","47687","16286","53326","37772","49432","93685","72412","78712","32887","23111","38567","30538","44990","74118","167452","74281"
"M810.5999T234.6","810.5999","234.6","4298138","4867162","3848337","5315358","4803218","3887978","3178759","3891044","3863622","5170706","4695466","5249532","5222036","2521478","3098762","4114353","4188790","3503965","4159179","5571968","5212143","4114229","5562964","5441969","4813865","4481387","4387650","5409585","4315575","5732405","4636412","4097886","4444258","5645019","5803453","155191","3573263","3777045","4091374","4127147","3417680","4554084","4208183","4278899","4524059","2458114","5077184","2182961","4728321","3273662","3599499","4718231","3958464","4944245","3393023","3633931","4425136","2642605","3333094","5168099","5125765","5320178","3759833","4224921","4325291","3286244","2677204","3787322","3206885","3173528","3945789","2825054","3926728","3990662","138515","4540485","3988474","4866807","5167502","517979","5069087","4924154","5742938","3444558","5406648","4111651","4130742","4719356","4863917","146815","4235982","2854365","3688317","4542603"
"M806.569T235.2","806.569","235.2","4276544","3692443","2643261","3374318","4479078","3972837","3884937","2791289","4438352","4608816","4166317","4625997","4973689","3120519","3456158","3317995","3633839","4909863","3336101","3910919","133128","5869160","4054658","3907286","4545780","3577738","5277648","3859894","4221210","4217338","168455","2730886","3651525","3913532","4112594","4439604","3155775","3710314","4975103","3799412","3926550","3497964","118008","3735936","3842194","4490185","4125816","4643626","2577191","2559080","4182413","4916470","3346803","4043480","16028","3154699","4636514","6105571","4048302","4475744","4026879","3382083","5083396","4674287","3413627","3441664","4833479","2377854","2512455","3472812","4507055","3569123","4807320","4801309","3732910","3872406","4886610","3602109","3514426","538241","4454681","3765916","3149218","4738760","5000863","4684823","3428373","3781112","3257538","3744882","4960204","5385192","5844627","4745324"
"M804.5544T238.2","804.5544","238.2","331093","356009","320544","291234","384588","408135","380479","374469","349635","358265","381828","294432","278728","302459","327122","373934","350259","362121","278869","303026","323269","344968","248649","312058","322285","372867","310420","288663","333377","269460","339296","277619","24210","308409","298957","344272","391597","370504","373661","298443","374804","431248","387388","376154","390203","451476","365012","476727","354557","452211","361132","349227","352337","372680","441073","373088","412742","363578","353820","335821","344577","328353","347253","386627","400146","407327","339069","363712","428998","437342","400739","417411","397142","384146","351504","385198","386040","401351","427638","207499","372395","414234","387178","410917","272375","356873","393369","383216","411092","359628","333096","391340","394463","346611"
"M834.5991T232.2","834.5991","232.2","1699109","1605184","986902","2113759","1995477","1273759","1682654","1073604","2080650","2566222","1544111","2984405","3188137","1078532","1228326","1258082","1956611","2696892","1639964","1908925","2729088","2906287","2516728","2151067","2319122","1772856","2490108","2374608","2300500","2848549","3654261","1425715","2125220","2156540","2687889","1917160","1280473","1942755","2019782","1814905","1399117","1376729","2330999","1212390","1374530","1173258","1997829","1253671","1117082","710316","1628111","2583100","1535580","1979084","1362359","1297509","1972299","2345660","1911103","2276836","1991105","1892699","2610028","1904688","1171630","1135670","2350282","1062111","846872","1054412","2036417","1387508","2100780","2126951","2089791","1855609","2304517","1788447","1387948","76819","2544818","2018385","1589408","1921072","3791332","2133778","1180142","1393754","1873146","1608221","2973960","2332142","3315428","2541803"
"M832.5845T233.4","832.5845","233.4","678631","793554","607252","912820","718817","626579","848917","519348","910831","783658","681542","841141","1142135","652696","531685","593678","756871","751926","823079","958611","1160339","1253643","1165574","1143914","899159","657764","1192367","972164","837363","915108","1207048","776371","15463","981314","1110863","567768","687177","586167","1162393","880567","18154","602067","873072","578744","770779","754525","906936","784535","559410","419649","854427","1083177","695737","786127","690272","726981","725784","1126134","898196","1077356","750997","662477","662405","800265","597418","687384","516318","525990","535066","16717","792063","683235","955715","976313","655915","807003","895970","706051","614576","69369","1018622","814694","661290","936497","1012261","858039","582025","618026","583121","567668","837016","980235","1101909","955550"
"M830.5683T233.4","830.5683","233.4","205024","195557","181306","202889","175976","245324","201789","138500","201611","184646","172848","203824","252888","166478","154550","151890","196190","212261","192117","328191","255957","290364","291276","421687","224700","189627","247389","229405","227183","392483","263191","247615","158792","221764","210502","139741","214638","154523","241015","207982","11547","171020","325602","187736","213954","271111","234801","275519","195265","195537","285598","278145","219868","204886","273322","245839","245877","225514","225628","291818","236118","173988","168955","216624","188773","235030","193161","144891","161295","240858","202025","222696","234103","240593","168823","226405","237017","187444","155566","40369","248472","194655","205651","247668","177430","229613","222585","261696","148723","183760","154779","254435","259714","220321"
